Q9NUX5	POT1
Q9NVM4	PRMT7
P62633	CNBP
Q99729	HNRNPAB
Q13576	IQGAP2
Q9BXW9	FANCD2
O43715	TRIAP1
O95817	BAG3
Q13285	NR5A1
Q9UKM9	RALY
P60174	TPI1
Q9H0W5	CCDC8
P82650	MRPS22
Q99728	BARD1
P11388	TOP2A
P35579	MYH9
Q6ZMU5	TRIM72
O15265	ATXN7
Q16514	TAF12
P49768	PSEN1
Q8TCJ2	STT3B
P24539	ATP5PB
Q99816	TSG101
P38398	BRCA1
Q969X6	UTP4
P21281	ATP6V1B2
Q9Y487	ATP6V0A2
Q06609	RAD51
P0CG48	UBC
Q9UPW5	AGTPBP1
P13639	EEF2
P31943	HNRNPH1
O75794	CDC123
Q8IZP0	ABI1
Q13428	TCOF1
Q9H0E7	USP44
P30411	BDKRB2
P43250	GRK6
O43293	DAPK3
Q96H55	MYO19
P06239	LCK
P62993	GRB2
O75665	OFD1
P50570	DNM2
O60260	PRKN
P51965	UBE2E1
O60318	MCM3AP
O94985	CLSTN1
Q16665	HIF1A
Q5VWK5	IL23R
P00167	CYB5A
P08684	CYP3A4
P17931	LGALS3
Q8NEM0	MCPH1
P05164	MPO
Q9UL26	RAB22A
P62807	H2BC10
P62807	H2BC4
P62807	H2BC6
P62807	H2BC7
P62807	H2BC8
Q53EL6	PDCD4
P09651	HNRNPA1
Q14999	CUL7
P12004	PCNA
P40926	MDH2
Q15942	ZYX
Q9UKY1	ZHX1
Q6P1J9	CDC73
Q9H9S0	NANOG
P29474	NOS3
Q02156	PRKCE
P06744	GPI
P14672	SLC2A4
Q6P2C8	MED27
Q9BTT4	MED10
O75534	CSDE1
P01241	GH1
P13385	TDGF1
P35052	GPC1
Q13242	SRSF9
Q86VP6	CAND1
O15350	TP73
P01106	MYC
P08069	IGF1R
P32121	ARRB2
P42684	ABL2
P46934	NEDD4
A6NI79	CCDC69
Q9UBL3	ASH2L
P03372	ESR1
Q96RI1	NR1H4
Q14807	KIF22
Q9NR09	BIRC6
P49736	MCM2
Q02413	DSG1
P06400	RB1
P52757	CHN2
Q9BWM7	SFXN3
Q9NS69	TOMM22
O95793	STAU1
Q9P2K1	CC2D2A
Q12979	ABR
Q6ZV89	SH2D5
Q6P582	MZT2A
Q9UFC0	LRWD1
Q5VST9	OBSCN
Q96JN0	LCOR
P05067	APP
Q6ZW49	PAXIP1
Q58DX5	NAALADL2
Q9HCU4	CELSR2
P23508	MCC
Q9NR31	SAR1A
P04629	NTRK1
P13667	PDIA4
P38432	COIL
Q96CN9	GCC1
P15880	RPS2
Q9BQ67	GRWD1
P47874	OMP
P62258	YWHAE
P26196	DDX6
Q13618	CUL3
Q12899	TRIM26
Q9BT49	THAP7
O14530	TXNDC9
Q16891	IMMT
Q5SY16	NOL9
Q9BQS8	FYCO1
O95382	MAP3K6
Q04917	YWHAH
P27348	YWHAQ
Q9NSI8	SAMSN1
Q13283	G3BP1
Q9NZT1	CALML5
O75147	OBSL1
P55265	ADAR
Q8IXI1	RHOT2
Q8IXI2	RHOT1
P04217	A1BG
Q14997	PSME4
P56180	TPTE
Q9H867	VCPKMT
P55316	FOXG1
Q9H2P0	ADNP
O75943	RAD17
Q92878	RAD50
O60341	KDM1A
Q15049	MLC1
Q9UBQ7	GRHPR
O75146	HIP1R
P60866	RPS20
Q9P0J6	MRPL36
Q05655	PRKCD
Q14289	PTK2B
O00299	CLIC1
P28066	PSMA5
Q06265	EXOSC9
Q96K37	SLC35E1
P08397	HMBS
P14324	FDPS
Q13601	KRR1
Q13895	BYSL
P54760	EPHB4
Q96JM4	LRRIQ1
P15259	PGAM2
Q9Y4E8	USP15
P14625	HSP90B1
Q7Z3U7	MON2
Q9BRP4	PAAF1
Q13257	MAD2L1
P63104	YWHAZ
Q9NQ66	PLCB1
P23458	JAK1
P33992	MCM5
Q71DI3	HIST2H3A
Q71DI3	HIST2H3C
Q71DI3	HIST2H3D
Q8NA61	CBY2
Q96NC0	ZMAT2
P35232	PHB
Q00610	CLTC
Q13813	SPTAN1
Q9GZQ8	MAP1LC3B
O14735	CDIPT
Q99952	PTPN18
P42126	ECI1
Q5TAP6	UTP14C
Q8IYF3	TEX11
P50914	RPL14
Q9BV73	CEP250
Q9H6T3	RPAP3
Q9NWS0	PIH1D1
O60645	EXOC3
Q9Y4I1	MYO5A
O60603	TLR2
P58753	TIRAP
P62851	RPS25
P46777	RPL5
P62244	RPS15A
P10276	RARA
Q96L73	NSD1
O60499	STX10
O00571	DDX3X
P62136	PPP1CA
Q9UKV5	AMFR
Q9H2J7	SLC6A15
Q9NRZ7	AGPAT3
O95070	YIF1A
Q92542	NCSTN
P32927	CSF2RB
P42336	PIK3CA
O15164	TRIM24
P10275	AR
Q13950	RUNX2
